ProductName	Price	Quantity	CustomerName
Original Frankfurter grüne Soße 	13 	10 	Que Delícia 
Gumbär Gummibärchen 	31.23 	2 	Franchi S.p.A. 
Gorgonzola Telino 	12.5 	14 	Gourmet Lanchonetes 
Raclette Courdavault 	55 	20 	Gourmet Lanchonetes 
Steeleye Stout 	18 	60 	Mère Paillarde 
Côte de Blaye 	263.5 	49 	Mère Paillarde 
Scottish Longbreads 	12.5 	30 	Mère Paillarde 
Pâté chinois 	24 	10 	La maison d'Asie 
Lakkalikööri 	18 	20 	La maison d'Asie 
Gnocchi di nonna Alice 	38 	5 	Galería del gastrónomo 
Wimmers gute Semmelknödel 	33.25 	7 	Galería del gastrónomo 
Tofu 	23.25 	35 	Piccolo und mehr 
Spegesild 	12 	20 	Reggiani Caseifici 
Valkoinen suklaa 	16.25 	40 	Hungry Owl All-Night Grocers 
Vegie-spread 	43.9 	35 	Hungry Owl All-Night Grocers 
Alice Mutton 	39 	45 	Ernst Handel 
Sir Rodney's Scones 	10 	50 	Ernst Handel 
Gnocchi di nonna Alice 	38 	30 	Ernst Handel 
Raclette Courdavault 	55 	70 	Ernst Handel 
Alice Mutton 	39 	50 	Bottom-Dollar Marketse 
Boston Crab Meat 	18.4 	50 	Bottom-Dollar Marketse 
Zaanse koeken 	9.5 	30 	Bottom-Dollar Marketse 
Gumbär Gummibärchen 	31.23 	10 	Split Rail Beer & Ale 
Tourtière 	7.45 	40 	Split Rail Beer & Ale 
Gnocchi di nonna Alice 	38 	28 	Princesa Isabel Vinhoss 
Queso Cabrales 	21 	6 	Folk och fä HB 
Lakkalikööri 	18 	18 	Folk och fä HB 
Chang 	19 	10 	Consolidated Holdings 
Gustaf's Knäckebröd 	21 	12 	Consolidated Holdings 
Mozzarella di Giovanni 	34.8 	10 	Consolidated Holdings 
Spegesild 	12 	5 	Blondel père et fils 
Gnocchi di nonna Alice 	38 	40 	Blondel père et fils 
Wimmers gute Semmelknödel 	33.25 	30 	Blondel père et fils 
Rhönbräu Klosterbier 	7.75 	24 	Blondel père et fils 
Perth Pasties 	32.8 	15 	Wartian Herkku 
Teatime Chocolate Biscuits 	9.2 	15 	Toms Spezialitäten 
Sasquatch Ale 	14 	20 	Toms Spezialitäten 
Ravioli Angelo 	19.5 	15 	Toms Spezialitäten 
Queso Manchego La Pastora 	38 	15 	Mère Paillarde 
Pavlova 	17.45 	16 	Mère Paillarde 
Wimmers gute Semmelknödel 	33.25 	6 	Mère Paillarde 
Longlife Tofu 	10 	30 	Mère Paillarde 
Chang 	19 	45 	Save-a-lot Markets 
Pavlova 	17.45 	49 	Save-a-lot Markets 
Thüringer Rostbratwurst 	123.79 	24 	Save-a-lot Markets 
Sirop d'érable 	28.5 	90 	Save-a-lot Markets 
Schoggi Schokolade 	43.9 	50 	Old World Delicatessen 
Queso Cabrales 	21 	30 	Ernst Handel 
Tourtière 	7.45 	80 	Ernst Handel 
Louisiana Hot Spiced Okra 	17 	60 	Ernst Handel 
Queso Cabrales 	21 	6 	Reggiani Caseifici 
Rössle Sauerkraut 	45.6 	12 	Reggiani Caseifici 
